[2018-04-26 13:51:47,930] - [DEBUG] - log initialize finish
[2018-04-26 13:51:48,075] - [DEBUG] - Starting new HTTPS connection (1): itunes.apple.com
[2018-04-26 13:51:49,302] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=1 HTTP/1.1" 200 None
[2018-04-26 13:51:49,845] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=1#page:200
[2018-04-26 13:51:50,766] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=2 HTTP/1.1" 200 None
[2018-04-26 13:51:51,020] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=2#page:200
[2018-04-26 13:51:52,000] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=3 HTTP/1.1" 200 None
[2018-04-26 13:51:52,157] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=3#page:200
[2018-04-26 13:51:53,039] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=4 HTTP/1.1" 200 None
[2018-04-26 13:51:53,246] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=4#page:200
[2018-04-26 13:51:53,812] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=5 HTTP/1.1" 200 None
[2018-04-26 13:51:54,052] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=5#page:200
[2018-04-26 13:51:54,601] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=6 HTTP/1.1" 200 None
[2018-04-26 13:51:54,924] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=6#page:200
